States,year,Boys ,Girls ,Total 
A & N Islands,2014-15,0.47,0.55,0.51
Andhra Pradesh,2014-15,6.57,6.89,6.72
Arunachal Pradesh,2014-15,11.51,10.09,10.82
Assam,2014-15,16.07,14.65,15.36
Bihar,2014-15,0.35,NR,NR
Chandigarh,2014-15,NR,NR,NR
Chhattisgarh,2014-15,3.08,2.74,2.91
Dadra & Nagar Haveli,2014-15,1.6,1.31,1.47
Daman & Diu,2014-15,1.8,0.29,1.11
Delhi,2014-15,NR,NR,NR
Goa,2014-15,0.63,0.84,0.73
Gujarat,2014-15,0.82,0.98,0.89
Haryana,2014-15,5.54,5.69,5.61
Himachal Pradesh,2014-15,0.46,0.83,0.64
Jammu & Kashmir,2014-15,6.98,6.59,6.79
Jharkhand,2014-15,5.91,5.03,5.48
Karnataka,2014-15,2.03,2.01,2.02
Kerala,2014-15,NR,NR,NR
Lakshadweep,2014-15,NR,NR,NR
Madhya Pradesh,2014-15,6.48,6.72,6.59
Maharashtra,2014-15,1.26,1.25,1.26
Manipur,2014-15,9.5,9.83,9.66
Meghalaya,2014-15,10.35,8.56,9.46
Mizoram,2014-15,10.17,10.03,10.1
Nagaland,2014-15,6.18,5.02,5.61
Odisha,2014-15,2.91,2.81,2.86
Puducherry,2014-15,0.36,0.38,0.37
Punjab,2014-15,2.89,3.25,3.05
Rajasthan,2014-15,5.02,5.02,5.02
Sikkim,2014-15,3.75,0.62,2.27
Tamil Nadu,2014-15,NR,NR,NR
Telangana,2014-15,2.21,1.94,2.08
Tripura,2014-15,1.37,1.19,1.28
Uttar Pradesh,2014-15,9.08,8.04,8.58
Uttarakhand,2014-15,4.37,3.67,4.04
West Bengal,2014-15,2.13,0.79,1.47
All India,2014-15,4.36,3.88,4.13
